Date,Max_Demand_GW,Plant_Production_GWh,Imports_GWh,Renewables_Production_GWh,emissions_c02_GG,GDP_bln,Population_k,tavg,tmax,tmin,GDP_pc
2003-01-01,0.36,182.08,0.0,0.0,47.52,4.82,398.58,13.2,15.6,10.9,12092.929901149078
2003-02-01,0.4,187.1,0.0,0.0,52.8,4.82,398.58,10.4,13.0,7.9,12092.929901149078
2003-03-01,0.34,176.37,0.0,0.0,44.88,4.82,398.58,12.7,15.7,9.8,12092.929901149078
2003-04-01,0.3,156.53,0.0,0.0,39.6,4.82,398.58,15.5,18.7,12.4,12092.929901149078
2003-05-01,0.28,163.97,0.0,0.0,36.96,4.82,398.58,20.4,24.8,16.0,12092.929901149078
2003-06-01,0.38,193.97,0.0,0.0,50.16,4.82,398.58,26.1,30.8,21.4,12092.929901149078
2003-07-01,0.4,232.95,0.0,0.0,52.8,4.82,398.58,28.8,33.6,23.9,12092.929901149078
2003-08-01,0.4,227.09,0.0,0.0,52.8,4.82,398.58,28.7,33.4,23.9,12092.929901149078
2003-09-01,0.39,188.77,0.0,0.0,51.48,4.82,398.58,24.5,27.7,21.2,12092.929901149078
2003-10-01,0.34,183.06,0.0,0.0,44.88,4.82,398.58,22.1,25.1,19.1,12092.929901149078
2003-11-01,0.3,162.41,0.0,0.0,39.6,4.82,398.58,18.0,21.2,14.8,12092.929901149078
2003-12-01,0.36,181.24,0.0,0.0,47.52,4.82,398.58,13.9,16.4,11.4,12092.929901149078
2004-01-01,0.37,195.63,0.0,0.0,50.42,4.91,401.27,12.2,15.0,9.4,12236.150223041843
2004-02-01,0.36,174.76,0.0,0.0,49.06,4.91,401.27,13.0,16.3,9.7,12236.150223041843
2004-03-01,0.34,176.64,0.0,0.0,46.34,4.91,401.27,13.8,16.6,10.9,12236.150223041843
2004-04-01,0.3,160.59,0.0,0.0,40.89,4.91,401.27,16.1,19.4,12.8,12236.150223041843
2004-05-01,0.29,163.77,0.0,0.0,39.52,4.91,401.27,18.2,21.9,14.5,12236.150223041843
2004-06-01,0.36,178.49,0.0,0.0,49.06,4.91,401.27,23.1,27.6,18.6,12236.150223041843
2004-07-01,0.39,221.76,0.0,0.0,53.15,4.91,401.27,26.3,31.0,21.5,12236.150223041843
2004-08-01,0.39,224.53,0.0,0.0,53.15,4.91,401.27,26.7,30.9,22.6,12236.150223041843
2004-09-01,0.37,192.01,0.0,0.0,50.42,4.91,401.27,23.4,27.0,19.8,12236.150223041843
