Date,Max_Demand_GW,Plant_Production_GWh,Imports_GWh,Renewables_Production_GWh,powerplants_c02_kt,GDP_bln,Population_k,tmin,tavg,tmax
2020-01-01,0.44,218.44,0.0,12.0,70.96,13.17,514.3928333333333,10.1,13.2,16.6
2020-02-01,0.41,195.22,0.0,16.34,63.42,13.3225,515.332,10.2,13.7,17.2
2020-03-01,0.4,196.32,25.32,18.02,63.78,13.475,515.5989999999999,11.3,14.4,17.4
2020-04-01,0.35,168.43,13.88,22.29,54.72,13.6275,515.866,12.9,16.7,20.5
2020-05-01,0.32,173.35,7.35,26.21,56.32,13.78,516.133,17.3,21.2,25.1
2020-06-01,0.39,189.71,4.09,28.18,61.63,13.9325,516.4,19.3,23.4,27.5
2020-07-01,0.46,250.91,42.21,27.64,81.51,14.085,516.6669999999999,22.3,26.9,31.7
2020-08-01,0.48,277.63,66.83,25.95,90.19,14.2375,516.934,24.2,28.6,33.0
2020-09-01,0.45,235.75,57.77,20.22,76.59,14.39,517.201,22.4,25.6,28.8
2020-10-01,0.44,204.11,51.78,19.5,66.31,14.5425,517.468,17.7,20.8,24.8
2020-11-01,0.35,186.57,82.72,14.16,60.61,14.695,517.7349999999999,14.2,17.7,21.1
2020-12-01,0.38,199.96,67.85,12.32,64.96,14.8475,518.002,12.8,15.3,17.6
2021-01-01,0.42,211.93,70.31,14.32,61.32,15.0,518.269,10.8,13.9,16.7
2021-02-01,0.43,186.04,39.42,19.68,53.83,15.155833333333334,518.536,11.2,13.4,16.3
2021-03-01,0.4,198.36,43.98,24.61,57.39,15.311666666666667,518.9427499999999,10.7,13.8,16.9
2021-04-01,0.34,179.07,4.87,23.57,51.81,15.467500000000001,519.3494999999999,12.9,16.2,19.5
2021-05-01,0.32,187.18,10.81,28.79,54.16,15.623333333333333,519.7562499999999,16.5,20.9,25.2
2021-06-01,0.54,230.52,25.46,28.1,66.7,15.779166666666667,520.163,21.0,26.0,31.0
2021-07-01,0.53,287.73,50.44,29.06,83.25,15.935,520.56975,23.6,28.3,33.0
2021-08-01,0.56,308.64,77.97,26.09,89.3,16.090833333333332,520.9765,24.8,29.3,33.8
2021-09-01,0.48,255.59,81.34,23.53,73.95,16.246666666666666,521.38325,23.0,26.3,29.6
2021-10-01,0.42,209.98,37.8,17.62,60.75,16.4025,521.79,18.0,20.6,23.4
2021-11-01,0.4,198.59,47.44,13.59,57.46,16.558333333333334,522.1967500000001,15.1,18.1,21.0
2021-12-01,0.43,218.02,57.41,14.1,63.08,16.714166666666667,522.6035,10.7,13.5,16.3
2022-01-01,0.5,233.51,64.3,16.59,64.6,16.87,523.01025,8.9,11.6,14.6
2022-02-01,0.47,204.97,46.44,20.33,56.7,16.87,523.417,9.4,12.4,15.7
2022-03-01,0.46,229.3,46.01,22.62,63.43,16.87,523.417,11.0,14.05,17.45
2022-04-01,0.37,197.05,68.26,24.74,54.51,16.87,523.417,12.6,15.7,19.2
2022-05-01,0.42,207.66,33.78,33.12,57.45,16.87,523.417,16.2,20.3,24.9
2022-06-01,0.54,259.35,49.88,34.54,71.75,16.87,523.417,21.9,27.0,32.4
2022-07-01,0.58,318.85,75.08,32.42,88.21,16.87,523.417,24.0,28.4,33.4
2022-08-01,0.57,317.19,84.73,30.34,87.75,16.87,523.417,24.3,27.9,32.3
2022-09-01,0.53,273.01,76.46,25.78,75.53,16.87,523.417,22.9,25.9,29.4
2022-10-01,0.41,225.89,66.13,23.85,62.49,16.87,523.417,18.2,21.6,25.3
2022-11-01,0.41,206.4,13.05,16.79,57.1,16.87,523.417,15.1,18.0,21.3
2022-12-01,0.4,207.78,22.02,15.84,57.48,16.87,523.417,13.2,16.3,19.4
